inventory_numbers;tag_inv;NURI;NURI_tag;taxonomy_1;tag_tax_1;taxonomy_2;tag_tax_2;location;tag_loc;stratigraphy;tag_str;author;author_tag;year;year_tag;old_inventory;old_inventory_tag;collector;collector_tag;determiner;determiner_tag
MB.I.1702;INV;http://coll.mfn-berlin.de/u/940781;O;Tarsophlebia;GEN;eximia;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;Hagen;O;1862;O;;O;Coll. Münster;O;det. Bechly, Nov. 1996;O
MB.I.1703.a;INV;http://coll.mfn-berlin.de/u/5d9d46;O;Tarsophlebia;GEN;eximia;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;Hagen;O;1862;O;;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996;O
MB.I.1703.b;INV;http://coll.mfn-berlin.de/u/9a0450;O;Tarsophlebia;GEN;eximia;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;Hagen;O;1862;O;;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996;O
MB.I.1704.a;INV;http://coll.mfn-berlin.de/u/ecfd87;O;Protolindenia;GEN;wittei;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;Hagen;O;1862;O;89;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996;O
MB.I.1704.b;INV;http://coll.mfn-berlin.de/u/389c38;O;Mesuropetala;GEN;koehleri;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;Hagen;O;1862;O;;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996;O
MB.I.1705.a;INV;http://coll.mfn-berlin.de/u/f2a8fd;O;Protolindenia;GEN;sp.;SPE;Windischofen b. Eichstätt;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;;O;;O;;O;;O;;O
MB.I.1705.b;INV;http://coll.mfn-berlin.de/u/d67650;O;Mesuropetala;GEN;sp.;SPE;Windischofen b. Eichstätt;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;;O;1862;O;;O;;O;;O
MB.I.1706;INV;http://coll.mfn-berlin.de/u/e5547e;O;Protolindenia;GEN;wittei;SPE;Solnhofen;LOC;Solnhofener Plattenkalk ob. Jura;STR;Giebel;O;1860;O;;O;Slg. Häberlein 1880;O;det. Bechly, Nov. 1996;O
MB.I.1707;INV;http://coll.mfn-berlin.de/u/11f623;O;Protolindenia;GEN;wittei;SPE;Solnhofen;LOC;Solnhofener Plattenkalk Ob. Jura;STR;Hagen;O;1848;O;;O;Slg. Häberlein 1880;O;det. Bechly, Nov. 1996;O
MB.I.1708.a;INV;http://coll.mfn-berlin.de/u/c0ecee;O;Mesuropetala;GEN;koehleri;SPE;Eichstätt ;LOC;Solnhofener Plattenkalk ob. Jura;STR;;O;;O;;O;Slg. Münster;O;det. Bechly, Nov. 1996;O
MB.I.1708.b;INV;http://coll.mfn-berlin.de/u/7a2cdb;O;Mesuropetala;GEN;koehleri;SPE;Eichstätt ;LOC;Solnhofener Plattenkalk ob. Jura;STR;;O;;O;;O;Slg. Münster;O;det. Bechly, Nov. 1996;O
MB.I.1709.a;INV;http://coll.mfn-berlin.de/u/2b4505;O;Mesuropetala;GEN;koehleri;SPE;Solnhofen;LOC;Solnhofener Plattenkalk ob. Jura;STR;Giebel;O;1860;O;;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996;O
MB.I.1709.b;INV;http://coll.mfn-berlin.de/u/cb1415;O;Stenophlebia;GEN;latreillei;SPE;Solnhofen;LOC;Solnhofener Plattenkalk ob. Jura;STR;Giebel;O;1860;O;;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996;O
MB.I.1710.a;INV;http://coll.mfn-berlin.de/u/e0bcfa;O;Stenophlebia;GEN;latreillei;SPE;Solnhofen;LOC;Solnhofener Plattenkalk Ob. Jura;STR;Hagen;O;1848;O;;O;Qu.-Kat. 268 (Libellula bavarica);O;det. Bechly, Nov. 1996;O
MB.I.1710.b;INV;http://coll.mfn-berlin.de/u/49940e;O;Protolindenia;GEN;wittei;SPE;Solnhofen;LOC;Solnhofener Plattenkalk Ob. Jura;STR;Hagen;O;1848;O;;O;Qu.-Kat. 268 (Libellula bavarica);O;det. Bechly, Nov. 1996;O
MB.I.1711;INV;http://coll.mfn-berlin.de/u/5ee421;O;Stenophlebia;GEN;latreillei;SPE;Solnhofen;LOC;Solnhofener Plattenkalk Ob. Jura;STR;Hagen;O;1848;O;;O;;O;det. Bechly, Nov. 1996, beschrifted: Diostatoma Münsteri Germ.);O
MB.I.1712.a;INV;http://coll.mfn-berlin.de/u/976bb9;O;Stenophlebia;GEN;latreillei;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;Germar;O;1839;O;;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996;O
MB.I.1712.b;INV;http://coll.mfn-berlin.de/u/8b8192;O;Stenophlebia;GEN;latreillei;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;Germar;O;1839;O;;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996;O
MB.I.1713;INV;http://coll.mfn-berlin.de/u/739b4a;O;Steleopteron;GEN;deichmuelleri;SPE;Solnhofen;LOC;Solnhofener Plattenkalk ob. Jura;STR;Giebel;O;1860;O;;O;Slg. Häberlein 1880;O;det. Bechly, Nov. 1996, Odonata: Anisoptera;O
MB.I.1714.a;INV;http://coll.mfn-berlin.de/u/f22651;O;Isophlebia;GEN;aspasia;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;Germar;O;1839;O;;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996;O
MB.I.1714.b;INV;http://coll.mfn-berlin.de/u/a1d7f;O;Isophlebia;GEN;aspasia;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;Germar;O;1839;O;;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996;O
MB.I.1715;INV;http://coll.mfn-berlin.de/u/4f0948;O;Nannogomphus;GEN;bavaricus;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;Germar;O;1839;O;86;O;Coll. Häberlein 1880;O;det. Bechly, Nov. 1996;O
MB.I.1716;INV;http://coll.mfn-berlin.de/u/6fdd3b;O;Odonata;ORD;indet.;SPE;Solnhofen;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;Handlirsch;O;1906;O;;O;Slg.v.Münster;O;det. Bechly, Nov. 1996;O
MB.I.1717;INV;http://coll.mfn-berlin.de/u/e0bbe4;O;Urogomphus;GEN;giganteus;SPE;Solnhofen;LOC;Solnhofener Plattenkalk ob. Jura;STR;;O;;O;;O;Slg. Redenbacher;O;;O
MB.I.1718.a-b;INV;http://coll.mfn-berlin.de/u/e0bcec;O;Urogomphus;GEN;giganteus;SPE;Solnhofen;LOC;Solnhofener Plattenkalk ob. Jura;STR;Hagen;O;1866;O;;O;Slg. Haberlein, 1880;O;;O
MB.I.1719;INV;http://coll.mfn-berlin.de/u/b901a0;O;Aeschnogomphus;GEN;sp.;SPE;Solnhofen;LOC;Solnhofener Plattenkalk ob. Jura;STR;Handlirsch;O;1906;O;89;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996, Odonata: Anisoptera;O
MB.I.1720;INV;http://coll.mfn-berlin.de/u/6619bf;O;Aeschnogomphus;GEN;sp.;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;;O;;O;;O;Slg. Münster;O;det. Bechly, Nov. 1996;O
MB.I.1721.a;INV;http://coll.mfn-berlin.de/u/b457d1;O;Aeschnogomphus;GEN;sp.;SPE;Solnhofen;LOC;Oberer Jura, Malm zeta 2;STR;Münster in Germar;O;1839;O;;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996;O
MB.I.1721.b;INV;http://coll.mfn-berlin.de/u/581af5;O;Aeschnogomphus;GEN;sp.;SPE;Solnhofen;LOC;Oberer Jura, Malm zeta 2;STR;Münster in Germar;O;1839;O;;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996;O
MB.I.1722.a;INV;http://coll.mfn-berlin.de/u/9cd0c4;O;Aeschnogomphus;GEN;sp.;SPE;Solnhofen;LOC;Solnhofener Plattenkalk Ob. Jura;STR;;O;;O;;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996;O
MB.I.1722.b;INV;http://coll.mfn-berlin.de/u/2ff6fa;O;Cymatophlebia;GEN;longialata;SPE;Solnhofen;LOC;Solnhofener Plattenkalk Ob. Jura;STR;;O;;O;;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996;O
MB.I.1723.a;INV;http://coll.mfn-berlin.de/u/adc206;O;Cymatophlebia;GEN;longialata;SPE;Solnhofen;LOC;Solnhofener Plattenkalk Ob. Jura;STR;;O;;O;;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996;O
MB.I.1723.b;INV;http://coll.mfn-berlin.de/u/8db8a7;O;Cymatophlebia;GEN;longialata;SPE;Solnhofen;LOC;Solnhofener Plattenkalk Ob. Jura;STR;;O;;O;;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996;O
MB.I.1724;INV;http://coll.mfn-berlin.de/u/318cc8;O;Cymatophlebia;GEN;longialata;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk ob. Jura;STR;;O;;O;;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996;O
MB.I.1725;INV;http://coll.mfn-berlin.de/u/772a18;O;Cymatophlebia;GEN;longialata;SPE;Solnhofen;LOC;Solnhofener Plattenkalk ob. Jura;STR;Germar;O;1839;O;;O;Slg. Häberlein 1880;O;det. Bechly, Nov. 1996;O
MB.I.1726;INV;http://coll.mfn-berlin.de/u/41cdce;O;Cymatophlebia;GEN;longialata;SPE;Solnhofen;LOC;Solnhofener Plattenkalk Ob. Jura;STR;Germar;O;1839;O;;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996;O
MB.I.1727;INV;http://coll.mfn-berlin.de/u/6196e9;O;Protolindenia;GEN;wittei;SPE;Solnhofen;LOC;Solnhofener Plattenkalk Ob. Jura;STR;Germar;O;1839;O;;O;;O;det. Bechly, Nov. 1996;O
MB.I.1728;INV;http://coll.mfn-berlin.de/u/6bf390;O;Cymatophlebia;GEN;longialata;SPE;Solnhofen;LOC;Solnhofener Plattenkalk Ob. Jura;STR;Germar;O;1839;O;;O;Slg. Häberlein 1880;O;det. Bechly, Nov. 1996;O
MB.I.1729.a;INV;http://coll.mfn-berlin.de/u/eccb10;O;Protolindenia;GEN;wittei;SPE;Solnhofen;LOC;Solnhofener Plattenkalk Ob. Jura;STR;Germar;O;1839;O;;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996;O
MB.I.1729.b;INV;http://coll.mfn-berlin.de/u/29f83e;O;Mesuropetala;GEN;koehleri;SPE;Solnhofen;LOC;Solnhofener Plattenkalk Ob. Jura;STR;Germar;O;1839;O;;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996;O
MB.I.1730;INV;http://coll.mfn-berlin.de/u/da4188;O;Mesuropetala;GEN;koehleri;SPE;Solnhofen;LOC;Solnhofener Plattenkalk ob. Jura;STR;Giebel;O;1860;O;86;O;Slg. Häberlein 1880;O;det. Bechly, Nov. 1996, Odonata: Anisoptera;O
MB.I.1731;INV;http://coll.mfn-berlin.de/u/99e1aa;O;Morbaeschna;GEN;münsteri;SPE;Solnhofen;LOC;Solnhofener Plattenkalk ob. Jura;STR;Germar;O;1839;O;;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996;O
MB.I.1732;INV;http://coll.mfn-berlin.de/u/a37d4f;O;Morbaeschna;GEN;münsteri;SPE;Solnhofen;LOC;Solnhofener Plattenkalk ob. Jura;STR;Giebel;O;1860;O;;O;Slg. Häberlein 1880;O;det. Bechly, Nov. 1996, Odonata: Anisoptera;O
MB.I.1733.a;INV;http://coll.mfn-berlin.de/u/e0bcdd;O;Stenophlebia;GEN;latreillei;SPE;Solnhofen;LOC;Solnhofener Plattenkalk Ob. Jura;STR;Hagen;O;1848;O;;O;Slg. Häberlein 1880;O;det. Bechly, Nov. 1996;O
MB.I.1733.b;INV;http://coll.mfn-berlin.de/u/d7b267;O;Stenophlebia;GEN;latreillei;SPE;Solnhofen;LOC;Solnhofener Plattenkalk Ob. Jura;STR;Hagen;O;1848;O;;O;Slg. Häberlein 1880;O;det. Bechly, Nov. 1996;O
MB.I.1734.a;INV;http://coll.mfn-berlin.de/u/ed3261;O;Nannogomphus;GEN;sp.;SPE;Solnhofen;LOC;Solnhofener Plattenkalk ob. Jura;STR;Germar;O;1859;O;42;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996;O
MB.I.1734.b;INV;http://coll.mfn-berlin.de/u/94071e;O;Tarsophlebia;GEN;eximia;SPE;Solnhofen;LOC;Solnhofener Plattenkalk ob. Jura;STR;Germar;O;1859;O;42a;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996;O
MB.I.1735.a;INV;http://coll.mfn-berlin.de/u/718258;O;Cymatophlebia;GEN;longialata;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;Germar;O;1839;O;;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996;O
MB.I.1735.b;INV;http://coll.mfn-berlin.de/u/b0dda3;O;Insecta;CLASS;indet.;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;Germar;O;1839;O;;O;Slg. Redenbacher;O;;O
MB.I.1736;INV;http://coll.mfn-berlin.de/u/e84aa2;O;Cymatophlebia;GEN;sp.;SPE;Eichstätt;LOC;Solnhofener Plattenkalk ob. Jura;STR;;O;;O;;O;Slg. Münster;O;det. Bechly, Nov. 1996, Odonata: Anisoptera;O
MB.I.1737;INV;http://coll.mfn-berlin.de/u/dd4b97;O;Malmagrion;GEN;eichstaettense;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;Hagen;O;1862;O;;O;Coll. Häberlein 1880;O;det. Bechly, Nov. 1996;O
MB.I.1738;INV;http://coll.mfn-berlin.de/u/78a893;O;Nannogomphus;GEN;sp.;SPE;Solnhofen;LOC;Solnhofener Plattenkalk ob. Jura;STR;Germar;O;1839;O;;O;Slg. Häberlein 1880;O;det. Bechly, Nov. 1996;O
MB.I.1739;INV;http://coll.mfn-berlin.de/u/e48597;O;Nannogomphus;GEN;sp.;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;;O;;O;88;O;Coll. Häberlein 1880;O;det. Bechly, Nov. 1996;O
MB.I.1740;INV;http://coll.mfn-berlin.de/u/5c2391;O;Tarsophlebia;GEN;sp.;SPE;Solnhofen;LOC;Solnhofener Plattenkalk Ob. Jura;STR;;O;;O;;O;;O;det. Bechly, Nov. 1996;O
MB.I.1741;INV;http://coll.mfn-berlin.de/u/a3d934;O;Aeschnogomphus;GEN;intermedius;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;;O;;O;89;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996;O
MB.I.1742.a;INV;http://coll.mfn-berlin.de/u/e0bd39;O;Aeschnogomphus;GEN;intermedius;SPE;Solnhofen;LOC;Solnhofener Plattenkalk ob. Jura;STR;;O;;O;;O;Slg. Häberlein 1880;O;det. Bechly, Nov. 1996;O
MB.I.1742.b;INV;http://coll.mfn-berlin.de/u/f15691;O;Nannogomphus;GEN;sp.;SPE;Solnhofen;LOC;Solnhofener Plattenkalk ob. Jura;STR;;O;;O;;O;Slg. Häberlein 1880;O;det. Bechly, Nov. 1996;O
MB.I.1743;INV;http://coll.mfn-berlin.de/u/260c9c;O;Tarsophlebia;GEN;sp.;SPE;Solnhofen;LOC;Solnhofener Plattenkalk ob. Jura;STR;;O;;O;88;O;Slg. Häberlein 1880;O;det. Bechly, Nov. 1996;O
MB.I.1744;INV;http://coll.mfn-berlin.de/u/79f274;O;Malmagrion;GEN;eichstaettense;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Ob. Jura;STR;Hagen;O;1848;O;;O;;O;;O
MB.I.1745;INV;http://coll.mfn-berlin.de/u/9422d;O;Malmagrion;GEN;eichstaettense;SPE;Eichstätt ;LOC;Solnhofener Plattenkalk Oberer Malm;STR;Hagen;O;1848;O;Inv. - Nr. 1995.4;O;Slg. Kaufmann;O;det. Bechly, Nov. 1996;O
MB.I.1746.a;INV;http://coll.mfn-berlin.de/u/93d8de;O;Protolindenia;GEN;wittei;SPE;vermutlich Eichstätt ;LOC;Solnhofener Plattenkalk Oberer Malm;STR;;O;;O;Inv. - Nr. 1995.4;O;Slg. Kaufmann;O;det. Bechly, Nov. 1996;O
MB.I.1746.b;INV;http://coll.mfn-berlin.de/u/cce803;O;Protolindenia;GEN;wittei;SPE;vermutlich Eichstätt ;LOC;Solnhofener Plattenkalk Oberer Malm;STR;;O;;O;Inv. - Nr. 1995.4;O;Slg. Kaufmann;O;det. Bechly, Nov. 1997;O
MB.I.1747.a;INV;http://coll.mfn-berlin.de/u/eb2ea7;O;Cymatophlebia;GEN;longialata;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;;O;;O;MB.1995.4;O;Slg. Kaufmann;O;;O
MB.I.1747.b;INV;http://coll.mfn-berlin.de/u/56d29;O;Tarsophlebia;GEN;sp.;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;;O;;O;MB.1995.4;O;Slg. Kaufmann;O;;O
MB.I.1748.a;INV;http://coll.mfn-berlin.de/u/88dc60;O;Cymatophlebia;GEN;sp.;SPE;Eichstätt;LOC;Solnhofener Plattenkalk ob. Jura;STR;Giebel;O;1860;O;;O;;O;det. Kuntzen, Zool. Mus. Bln. Aus Nachlaß kuntzen;O
MB.I.1748.b;INV;http://coll.mfn-berlin.de/u/aceeb6;O;Tarsophlebia;GEN;eximia;SPE;Eichstätt;LOC;Solnhofener Plattenkalk ob. Jura;STR;Giebel;O;1860;O;;O;;O;det. Kuntzen, Zool. Mus. Bln. Aus Nachlaß kuntzen;O
MB.I.1749;INV;http://coll.mfn-berlin.de/u/1fcc39;O;Insecta;CLASS;indet.;SPE;Solnhofen;LOC;Solnhofener Plattenkalk Ob. Jura;STR;Germar;O;1839;O;Inv.-Nr. 1969.54.90;O;Slg. Rühle von Lilienstern;O;det. Bechly, Nov. 1996;O
MB.I.1750;INV;http://coll.mfn-berlin.de/u/414e2d;O;Cymatophlebia;GEN;sp.;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;;O;;O;;O;Slg. Redenbacher;O;det. Bechly, Nov. 1996;O
MB.I.1751;INV;http://coll.mfn-berlin.de/u/15cf99;O;Cymatophlebia;GEN;sp.;SPE;Solnhofen;LOC;Solnhofener Plattenkalk Ob. Jura;STR;;O;;O;Inv.-Nr.1973.17.14;O;Slg. Schlutter;O;det. Bechly, Nov. 1996;O
MB.I.1752;INV;http://coll.mfn-berlin.de/u/a5b536;O;Myrmicium;GEN;sp.;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;Hagen;O;1862;O;MB.1969.54.91;O;Slg. Rühle v. Lilienstern;O;det. Bechly, Nov. 1996;O
MB.I.1753;INV;http://coll.mfn-berlin.de/u/3fcf65;O;Myrmicium;GEN;sp.;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;;O;;O;MB.1969.54.92;O;Slg. Rühle v. Lilienstern;O;det. Bechly, Nov. 1996;O
MB.I.1754.a;INV;http://coll.mfn-berlin.de/u/103d02;O;Myrmicium;GEN;sp.;SPE;Eichstätt, Bayern, Deutschland;LOC;Solnhofener Plattenkalk Ob. Jura;STR;;O;;O;Inv.-Nr.1995.4;O;Slg. Kaufmann;O;det. Bechly, Nov. 1996;O
MB.I.1754.b;INV;http://coll.mfn-berlin.de/u/d9bbca;O;Hexagenites;GEN;sp.;SPE;Eichstätt, Bayern, Deutschland;LOC;Solnhofener Plattenkalk Ob. Jura;STR;;O;;O;Inv.-Nr.1995.4;O;Slg. Kaufmann;O;det. Bechly, Nov. 1996;O
MB.I.1755.a;INV;http://coll.mfn-berlin.de/u/9407c5;O;Hexagenites;GEN;cellulosus;SPE;Eichstätt, Bayern, Deutschland;LOC;Solnhofener Plattenkalk oberer Malm;STR;;O;;O;MB.1995.4, 141;O;Coll. Kaufmann, 1995;O;;O
MB.I.1755.b;INV;http://coll.mfn-berlin.de/u/940821;O;Mesonepa;GEN;primordialis;SPE;Eichstätt, Bayern, Deutschland;LOC;Solnhofener Plattenkalk oberer Malm;STR;;O;;O;MB.1995.4, 142;O;Coll. Kaufmann, 1995;O;;O
MB.I.1756;INV;http://coll.mfn-berlin.de/u/9407f1;O;Mesonepa;GEN;primordialis;SPE;Eichstätt, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;;O;;O;MB.1995.4;O;;O;;O
MB.I.1757.a-b;INV;http://coll.mfn-berlin.de/u/94083a;O;Chresmoda;GEN;obscura;SPE;Eichstätt, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Ober-Jura;STR;;O;;O;MB.1995.4;O;Coll. Kaufmann 1995;O;;O
MB.I.1758.a-b;INV;http://coll.mfn-berlin.de/u/94072b;O;Chresmoda;GEN;obscura;SPE;Eichstätt, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Ober-Jura;STR;Hagen;O;1862;O;MB.1995.4;O;Coll. Kaufmann 1995, Nr. 337;O;;O
MB.I.1759.a;INV;http://coll.mfn-berlin.de/u/9b0f18;O;Pycnophlebia;GEN;speciosa;SPE;Eichstätt, Bayern, Deutschland;LOC;Solnhofener Plattenkalk Malm, Jura;STR;Germar;O;1839;O;Inv.-Nr.MB..1995.4, 139;O;Coll. Kaufmann, 1975;O;;O
MB.I.1759.b;INV;http://coll.mfn-berlin.de/u/9407e9;O;Urogomphus;GEN;eximius;SPE;Eichstätt, Bayern, Deutschland;LOC;Solnhofener Plattenkalk Malm, Jura;STR;Germar;O;1839;O;Inv.-Nr.MB..1995.4, 140;O;Coll. Kaufmann, 1975;O;;O
MB.I.1895;INV;http://coll.mfn-berlin.de/u/3ab8a8;O;Orthoptera;ORD;indet.;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;Germar;O;1839;O;MB.1998.1;O;Slg. Edinger;O;;O
MB.I.1896;INV;http://coll.mfn-berlin.de/u/61ae0f;O;Orthoptera;ORD;indet.;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;Germar;O;1839;O;MB.1998.1, 69/58;O;Coll. Häberlein 1880;O;;O
MB.I.1897;INV;http://coll.mfn-berlin.de/u/9407ef;O;Eocicada;GEN;lameeri;SPE;Solnhofen, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;Germar;O;1839;O;MB.1998.1;O;Coll. Edinger;O;;O
